hotel_name,overall_rating,total_review,location,cleanliness_rating,service_rating,amenities_rating,facilities_rating,total_photo,room_rating,room_size,number_of_amenities,price
Otel Star Palace,3.5/5,139 reviews,"Antalya Mah. 567 Sok. No. 33, Antalya",3.3/5,3.5/5,3.3/5,3.5/5,28+,5/5 guest room rating,161 sq ft,8.0,$16
The Green Park Taksim,3.5/5,244 reviews,"Abdulhak Hamit Cad. No:34, Taksim, Istanbul, Istanbul",3.5/5,3.6/5,3.5/5,3.4/5,33+,5/5 guest room rating,215 sq ft,15.0,$41
Rixos Premium Göcek Adult Only,4.3/5,105 reviews,"Göcek Mahallesi, Sahil Yolu Caddesi, Mugla, Mugla",4.4/5,4.2/5,3.5/5,4.5/5,78+,4.6/5 guest room rating,484 sq ft,13.0,$261
Onkel Rada Apart Hotel,4.1/5,149 reviews,"Liman Mah., 33 Sk., Onkel Res No. 25/A C Blok, Konyaalti, Antalya",4.0/5,3.8/5,4.0/5,4.0/5,42+,4/5 guest room rating,323 sq ft,5.0,$22
Hurry Inn,3.7/5,95 reviews,"Mehmet Nesih Özmen Mah. Nadide Cad., No.64, Istanbul, Istanbul",3.8/5,3.8/5,3.3/5,3.9/5,60+,5/5 guest room rating,323 sq ft,15.0,$39
Hisar Aqua Hotel,4.2/5,60 reviews,"Ölüdeniz, Mugla, Mugla",4.1/5,4.3/5,3.3/5,4.0/5,21+,4.5/5 guest room rating,194 sq ft,7.0,$18
Grand Hotel De Pera,4.0/5,161 reviews,"Meşrutiyet Caddesi, No:55, Istanbul, Istanbul, Istanbul",4.1/5,4.3/5,3.8/5,4.0/5,53+,4.4/5 guest room rating,183 sq ft,11.0,$58
Cartoon Hotel,3.1/5,210 reviews,"Tarlabasi Bulvari No: 36, Istanbul, Istanbul",3.2/5,3.4/5,2.8/5,3.1/5,44+,,323 sq ft,9.0,$58
Club Hotel Falcon,3.9/5,349 reviews,"Sirinyali Mah., 1540 Sok. No: 12, Antalya, Antalya",3.9/5,3.8/5,4.0/5,3.9/5,47+,4.4/5 guest room rating,215 sq ft,20.0,$105
Wineport Lodge Agva,4.2/5,84 reviews,"Goce Mahallesi Dolmabahce Caddesi No:48, Sile, Istanbul",4.1/5,4.3/5,5.0/5,4.1/5,84+,4/5 guest room rating,215 sq ft,10.0,$107
Bellis Deluxe Hotel - All Inclusive,4.2/5,156 reviews,"Tasliburun mevkii, Belek, Antalya",4.3/5,4.0/5,4.4/5,4.2/5,92+,,,21.0,"$2,158"
Niss Business Hotel,3.8/5,41 reviews,"Kuskavagi Mahallesi 553 Sokak No 1, Konyaalti, Antalya",3.6/5,3.8/5,2.7/5,3.6/5,48+,3.8/5 guest room rating,258 sq ft,14.0,$28
Mugla Stone House Hotel,4.7/5,37 reviews,"Osman Kizildereli Sokak No 5, Mugla, Mugla",4.6/5,4.7/5,5.0/5,4.6/5,56+,5/5 guest room rating,323 sq ft,8.0,$28
Delphin Imperial - All Inclusive,4.3/5,166 reviews,"Kemeragzi Mevkii Lara Beach, Kundu Antalya Lara, Antalya, Antalya",4.4/5,4.2/5,4.1/5,4.3/5,46+,4/5 guest room rating,377 sq ft,18.0,$421
Taxim Suites,4.2/5,103 reviews,"Cumhuriyet cad. No:31, Taksim, Istanbul, Istanbul",4.3/5,4.2/5,4.5/5,4.1/5,61+,,194 sq ft,12.0,$114
Hotel Ipek Palas,3.4/5,646 reviews,"Orhaniye Cad. No:9 Sirkecii - Fatih, Istanbul, Istanbul",3.6/5,3.8/5,3.3/5,3.3/5,43+,3.8/5 guest room rating,151 sq ft,9.0,$30
Payidar Suite,3.6/5,148 reviews,"Gülbahar Mah. Büyükdere Cad.Oya Sok., No 14 Sisli Mecidiyeköy, Istanbul",3.8/5,3.9/5,3.7/5,3.5/5,27+,4.2/5 guest room rating,269 sq ft,8.0,$23
Kemer Barut Collection - All Inclusive,4.6/5,39 reviews,"Ataturk Bulvari Yeni Mah. No 24, Kemer, Antalya",4.7/5,4.7/5,5.0/5,4.7/5,93+,5/5 guest room rating,258 sq ft,21.0,$249
Ramada Hotel & Suites by Wyndham Istanbul Merter,3.5/5,84 reviews,"Güven Mah. Eski Londra Asfaltı Cad., No:83 B/18, Güngören, Istanbul",3.3/5,3.4/5,3.6/5,3.5/5,78+,5/5 guest room rating,301 sq ft,14.0,$58
Kadak Garden Istanbul Airport Hotel,3.4/5,327 reviews,"Basin Ekspres Yolu Çinar Cad. No:24, Yenibosna, Istanbul, Istanbul",3.5/5,3.4/5,4.0/5,3.4/5,99+,5/5 guest room rating,172 sq ft,12.0,$28
Lime Garden Hotel,4.0/5,4 reviews,"Bekar Sk., Istanbul, Istanbul",3.8/5,4.5/5,3.3/5,4.0/5,58+,,215 sq ft,7.0,$40
Upper House Hotel,3.7/5,121 reviews,"PTT Cd. Ozturk Sok. No:15, Kas, Antalya",4.1/5,3.9/5,3.4/5,3.9/5,46+,4.4/5 guest room rating,269 sq ft,7.0,$79
Ramada Encore by Wyndham Istanbul Kartal,4.0/5,166 reviews,"Cumhuriyet Mah. Kartal Cad., No: 53, Yakacik Kartal, Istanbul, Istanbul",4.3/5,4.0/5,3.7/5,4.1/5,45+,5/5 guest room rating,258 sq ft,12.0,$46
The Zanadu İstanbul,3.4/5,48 reviews,"Sht. Mehmet Pasa Sk. 26/1, Kucuk Ayasofya Mahallesi Fatih, Istanbul, Istanbul",3.6/5,3.4/5,2.5/5,3.4/5,46+,3.6/5 guest room rating,161 sq ft,5.0,$15
Exporoyal Hotel,3.5/5,243 reviews,"Antalya Mahallesi 567, Sokak N 53, Antalya",3.6/5,3.8/5,2.6/5,3.4/5,60+,5/5 guest room rating,140 sq ft,9.0,$13
Santa Lucia Hotel,3.2/5,152 reviews,"Seyit Muhtar Mah Yogurtcu Faik Sok. 14, Istanbul, Istanbul",3.3/5,3.3/5,3.1/5,3.2/5,51+,4/5 guest room rating,215 sq ft,7.0,$23
Bac Pansiyon,4.3/5,55 reviews,"Cumhuriyet Cad. No 16, Mugla",4.3/5,4.4/5,3.9/5,4.1/5,24+,4.2/5 guest room rating,183 sq ft,6.0,$34
Black Suite,4.0/5,134 reviews,"Bostan Mah. Yayakoprusu Sok. No 18, Istanbul Istanbul, Istanbul",3.8/5,4.2/5,4.0/5,3.9/5,41+,4.4/5 guest room rating,215 sq ft,7.0,$33
8 Oda Boutique Homes,4.6/5,40 reviews,"Tepe Neighborhood 30 Street No:17-19, Inside the Castle, Marmaris, Mugla",4.6/5,4.8/5,4.6/5,4.5/5,92+,,322 sq ft,7.0,$108
The City Suites,3.9/5,73 reviews,"Atakent Mah Akdeniz Cad Muammer, Aksoy Sok. No. 4, Istanbul",3.8/5,4.0/5,4.2/5,3.9/5,41+,3.6/5 guest room rating,172 sq ft,6.0,$25
Holiday Inn Istanbul - Tuzla Bay,4.1/5,30 reviews,"Guzelyali Mah. Sahil Bulvari No. 72, Pendik, Istanbul",4.5/5,4.3/5,4.4/5,4.4/5,55+,,183 sq ft,13.0,$82
A11 Hotel,3.7/5,77 reviews,"Göztepe Mahallesi Bağdat Cd. 229/1, Kadikoy, Istanbul",3.7/5,3.8/5,3.4/5,3.7/5,19+,4.2/5 guest room rating,258 sq ft,10.0,$41
Gen Suites,3.9/5,56 reviews,"Eskisehir Mah. Akaglar Cad. No 22, Istanbul",3.7/5,3.8/5,3.6/5,3.7/5,80+,5/5 guest room rating,236 sq ft,7.0,$21
Cettia Beach Resort - Adults Only,4.4/5,49 reviews,"Cumhuriyet Bulvari No: 51, Marmaris, Mugla",4.4/5,4.5/5,2.8/5,4.2/5,50+,3.9/5 guest room rating,Mountain view,12.0,$64
Grand Star Hotel Bosphorus,2.9/5,175 reviews,"Siraselviler Cadessi No: 45/1 Taksim, Istanbul, Istanbul",3.1/5,3.0/5,2.6/5,3.0/5,73+,,269 sq ft,14.0,$34
HAY Hotel Alsancak,4.5/5,55 reviews,"1476 / 1 sokak no 5 Alsancak Konak, Izmir",4.8/5,4.5/5,4.8/5,4.6/5,44+,5/5 guest room rating,194 sq ft,9.0,$46
Elits Suits,3.0/5,48 reviews,"3 Osmanli Bulvari, yenisehir mahçosmanli bulvari.no13, Istanbul",2.7/5,2.9/5,3.5/5,2.9/5,49+,,370 sq ft,13.0,$23
Cender Hotel,2.4/5,96 reviews,"Genclik Mah. Isiklar Cad. No:42, Antalya",2.7/5,2.4/5,2.0/5,2.4/5,167+,5/5 guest room rating,226 sq ft,11.0,$49
Renka Hotel & Spa,4.8/5,16 reviews,"Göcek Mah, Inönü Bulvari Gün sok No:1, Mugla, Mugla",4.8/5,5.0/5,4.8/5,4.9/5,52+,,280 sq ft,12.0,$185
Grand Istanbul Airport Hotel,3.1/5,105 reviews,"Gülbahar Caddesi No: 2 Günesli, Bagcilar, Istanbul",3.0/5,3.2/5,2.0/5,3.0/5,44+,4.2/5 guest room rating,97 sq ft,10.0,$20
Elista Hotel & Spa Turkbuku Mugla,4.4/5,14 reviews,"Göltürkbükü Mahallesi, Liman Cd. 65/1, Mugla, Mugla",4.5/5,4.6/5,3.0/5,4.7/5,73+,5/5 guest room rating,269 sq ft,11.0,$136
Datca Sapphire Hotel,4.4/5,85 reviews,"Iskele Mah., Kargi Yolu Cad., No. 8/A, Datca, Mugla",4.6/5,4.5/5,3.8/5,4.4/5,19+,5/5 guest room rating,183 sq ft,9.0,$45
White Monarch Hotel,2.5/5,186 reviews,"Mecidiyeköy Mah. Selahattin Pinar Arkasi, Naci Kasim Sokak No:2, Sisli, Istanbul, Istanbul",2.8/5,2.6/5,2.2/5,2.6/5,59+,,161 sq ft,9.0,$31
Grand Yayla Hotel,4.3/5,124 reviews,"Sakarya Mahallesi 3100 Sokak No: 1, Izmir",4.2/5,4.4/5,3.6/5,4.0/5,68+,3.8/5 guest room rating,194 sq ft,10.0,$15
Iskelem Otel,4.2/5,72 reviews,"Akyaka Mah., Atatürk Cd., No. 68-70, Ula, Mugla",4.2/5,4.3/5,4.0/5,4.2/5,79+,4.6/5 guest room rating,172 sq ft,9.0,$32
Kadikoy Port Hotel,3.5/5,154 reviews,"Rasimpasa Iskele Sk. No 18, Istanbul",3.2/5,3.5/5,2.9/5,3.3/5,44+,3.6/5 guest room rating,139 sq ft,4.0,$17
Tophane Suites,4.5/5,35 reviews,"Firuzaga Mh. Bogazkesen Cd. No 56, Tophane, Istanbul, Istanbul",4.6/5,4.7/5,5.0/5,4.6/5,40+,,247 sq ft,10.0,$62
Alavya - Special Class,4.6/5,14 reviews,"Yeni Mecidiye Mh. 3005 Sk. No: 6, Alaçati, Cesme, Izmir",4.7/5,4.6/5,0.0/5,4.5/5,35+,4.7/5 guest room rating,377 sq ft,13.0,$290
Taba Luxury Suites,3.4/5,177 reviews,"Elifoglu Sok. No:1 Gayrettepe, Besiktas, Istanbul, Istanbul",3.6/5,3.5/5,2.5/5,3.4/5,28+,3.6/5 guest room rating,237 sq ft,13.0,$45
Sumengen Hotel,3.9/5,224 reviews,"Mimar Mehmet Aga Cad. Amiral Tafdil Sok., No:9, Istanbul, Istanbul, Istanbul",4.1/5,4.1/5,3.6/5,3.8/5,39+,4.2/5 guest room rating,215 sq ft,10.0,$37
Grand Park Kemer - All Inclusive,4.4/5,45 reviews,"Cifte Cesmeler Mah Atatürk Cad. No. 195, Beldibi, Kemer, Antalya",4.6/5,4.3/5,4.6/5,4.5/5,91+,3.8/5 guest room rating,258 sq ft,20.0,$145
Villa Anfora Otel,4.3/5,70 reviews,"Iskele Mah. Bademli Cad. No: 44, Datca, Mugla",4.3/5,4.3/5,4.5/5,4.3/5,24+,5/5 guest room rating,215 sq ft,8.0,$36
White Palace Hotel,3.6/5,185 reviews,"Sirinevler Mh. Maresal Fevzi Çakmak Cd., 2.Yol No:19/1A Sirinevler/Bahçelievler, Istanbul, Istanbul",3.6/5,3.9/5,4.0/5,3.6/5,37+,3.9/5 guest room rating,205 sq ft,6.0,$22
Hotel Santa Sophia,2.3/5,160 reviews,"Emin Sinan Hamami St. No. 2 Cemberlitas, Emin Sinan, Fatih, Istanbul, Istanbul, Istanbul",2.5/5,2.5/5,2.4/5,2.4/5,62+,,108 sq ft,9.0,$17
Melis Pansiyon,4.4/5,75 reviews,"Turkkuyusu Cad. No. 42, Mugla, Mugla",4.4/5,4.5/5,4.0/5,4.2/5,30+,5/5 guest room rating,140 sq ft,8.0,$20
Minyon Hotel,4.7/5,41 reviews,"Kılınç aslan mah Tabakhane Sokak No.31, Antalya, Antalya",4.8/5,4.7/5,4.7/5,4.6/5,72+,,161 sq ft,6.0,$83
Villa Lukka,4.6/5,51 reviews,"Ulupinar Koyu, Cirali Mahallesi, PK 117, Kemer, Antalya",4.8/5,4.5/5,3.8/5,4.6/5,44+,4.4/5 guest room rating,344 sq ft,9.0,$79
Tryp By Wyndham Istanbul Sancaktepe,4.2/5,8 reviews,"Eyup Sultan Mah. Kizilay Cad, Istanbul",4.4/5,4.1/5,4.0/5,4.4/5,87+,5/5 guest room rating,344 sq ft,17.0,$39
The Conforium Hotel,4.0/5,35 reviews,"Gökalp Mah. 39 Sok no:21-23, Istanbul, Istanbul",4.3/5,4.2/5,4.7/5,4.1/5,37+,4.2/5 guest room rating,215 sq ft,11.0,$68
Villa Tamara Hotel,4.3/5,119 reviews,"Aydin Koker Sokak, Cukurbag Yarimadasi, Kas, Antalya",4.2/5,4.3/5,3.4/5,4.0/5,62+,4/5 guest room rating,484 sq ft,8.0,$130
Villa Dreams,4.5/5,71 reviews,"Zafer Mah, Bademlik Caddesi No:25, Selcuk, Izmir",4.5/5,4.5/5,4.6/5,4.4/5,58+,5/5 guest room rating,151 sq ft,7.0,$59
Bilgehan Hotel,3.3/5,39 reviews,"Tahilpazari Mahallesi, Adnan Menderes Blv. No 1, Antalya, Antalya",3.2/5,3.3/5,1.3/5,3.1/5,24+,3.7/5 guest room rating,322 sq ft,10.0,$48
Villa Fanti,4.7/5,56 reviews,"16 Eylul Mah., 3047/2 Sok., No. 1A, Cesme, Izmir",4.8/5,4.8/5,4.0/5,4.8/5,24+,4.5/5 guest room rating,172 sq ft,4.0,$59
Moonshine Hotel & Suites,4.0/5,106 reviews,"Marsmabedi Cad. No: 47, Mugla, Mugla",3.9/5,4.2/5,4.8/5,3.7/5,47+,,323 sq ft,,$41
Rixos Premium Tekirova - All Inclusive,4.2/5,64 reviews,"Tekirova Mah. Sehit Er Hasan Yilmaz, Cad. No:20, Kemer, Antalya",4.4/5,4.3/5,4.7/5,4.4/5,64+,3.8/5 guest room rating,280 sq ft,19.0,$204
Ida Tas Konak,4.5/5,12 reviews,"Yesilyurt Koyu Kucukkuyu, Ayvacik, Canakkale",4.2/5,4.6/5,0.0/5,4.7/5,35+,5/5 guest room rating,269 sq ft,11.0,$59
